,type,name,url,twitter,facebook,handle,post_id,text,post_text,shared_text,time,image,video,video_thumbnail,video_id,likes,comments,shares,post_url,link,user_id,username,is_live,images
2,house,House Committee on the Budget,https://budget.house.gov/,HouseBudgetDems,housebudgetdems,housebudgetdems,10158292398894952,"After decades of underinvestment, America’s roads & bridges are crumbling. House Democrats know #InfrastructureIsCalling, and we’re ready to answer.

With the visionary investments in the #AmericanJobsPlan we can build back better than ever and secure a better future for ALL Americans.","After decades of underinvestment, America’s roads & bridges are crumbling. House Democrats know #InfrastructureIsCalling, and we’re ready to answer.

With the visionary investments in the #AmericanJobsPlan we can build back better than ever and secure a better future for ALL Americans.",,2021-05-14 18:00:16,,,,,2,0,0,https://facebook.com/housebudgetdems/posts/10158292398894952,,84682344951,House Budget Committee,False,[]
9,house,House Committee on Transportation and Infrastructure,https://transportation.house.gov/,transportdems,transportdems,transportdems,2973379576242794,"On #FollowFriday, meet Rep. Troy Carter, @TransportDems’ newest member, who represents Louisiana’s 7th District. Welcome, Rep. Carter!","On #FollowFriday, meet Rep. Troy Carter, @TransportDems’ newest member, who represents Louisiana’s 7th District. Welcome, Rep. Carter!",,2021-05-14 16:59:54,https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/185316288_2973379552909463_852631511971374081_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=8024bb&_nc_ohc=E410wtVyssoAX8rwEP9&_nc_ht=scontent-iad3-2.xx&tp=14&oh=c38b9ea8ee3fbe9406e1eb31a5240737&oe=60C74630,,,,1,0,0,https://facebook.com/transportdems/posts/2973379576242794,,1570916196489146,House Committee on Transportation and Infrastructure,False,['https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/185316288_2973379552909463_852631511971374081_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=8024bb&_nc_ohc=E410wtVyssoAX8rwEP9&_nc_ht=scontent-iad3-2.xx&tp=14&oh=c38b9ea8ee3fbe9406e1eb31a5240737&oe=60C74630']
22,house,House Committee on Ways and Means,https://waysandmeans.house.gov/,WaysMeansCmte,waysandmeanscommitteedems,waysandmeanscommitteedems,10159377220613686,"The #AmericanRescuePlan increased the #ChildTaxCredit - a fully refundable and payable monthly credit - to provide $3,000 per child ($3,600 per child under 6).

Let’s make it permanent.","The #AmericanRescuePlan increased the #ChildTaxCredit - a fully refundable and payable monthly credit - to provide $3,000 per child ($3,600 per child under 6).

Let’s make it permanent.",,2021-05-14 15:05:45,https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/186061308_10159377220388686_6415772206510704347_n.png?_nc_cat=101&ccb=1-3&_nc_sid=8024bb&_nc_ohc=plHfSQ_xfNMAX-jV1UY&_nc_oc=AQnytjyz7eAIdanmGOV0r-CKjmb53Am9Ac9yS_wVD4SMa_IeG1NAn1im9uuz4xb88jY&_nc_ht=scontent-iad3-2.xx&oh=a1f20d773eb4f1d25e319fc9e88b4da6&oe=60C7B15C,,,,1,2,0,https://facebook.com/waysandmeanscommitteedems/posts/10159377220613686,,102756388685,Ways and Means Committee,False,['https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/186061308_10159377220388686_6415772206510704347_n.png?_nc_cat=101&ccb=1-3&_nc_sid=8024bb&_nc_ohc=plHfSQ_xfNMAX-jV1UY&_nc_oc=AQnytjyz7eAIdanmGOV0r-CKjmb53Am9Ac9yS_wVD4SMa_IeG1NAn1im9uuz4xb88jY&_nc_ht=scontent-iad3-2.xx&oh=a1f20d773eb4f1d25e319fc9e88b4da6&oe=60C7B15C']
10,house,House Committee on Transportation and Infrastructure,https://transportation.house.gov/,transportdems,transportdems,transportdems,2973305936250158,"#InfrastructureIsCalling and this week Representative Greg Stanton joined other mayors from across the country to urge Congress to answer with transformational infrastructure investment. As Vice Chair of the Subcommittee on Highways and Transit, Rep. Stanton is working to make that a reality.","#InfrastructureIsCalling and this week Representative Greg Stanton joined other mayors from across the country to urge Congress to answer with transformational infrastructure investment. As Vice Chair of the Subcommittee on Highways and Transit, Rep. Stanton is working to make that a reality.",,2021-05-14 14:28:12,https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/185562020_2973305906250161_4604384534156946027_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=8024bb&_nc_ohc=yf9pPVd4RmgAX-NK8m6&_nc_ht=scontent-iad3-2.xx&tp=14&oh=3511eccc99b11bf6345965c69f1e03ab&oe=60C9D29F,,,,1,0,0,https://facebook.com/transportdems/posts/2973305936250158,,1570916196489146,House Committee on Transportation and Infrastructure,False,['https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/185562020_2973305906250161_4604384534156946027_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=8024bb&_nc_ohc=yf9pPVd4RmgAX-NK8m6&_nc_ht=scontent-iad3-2.xx&tp=14&oh=3511eccc99b11bf6345965c69f1e03ab&oe=60C9D29F']
11,house,House Committee on Transportation and Infrastructure,https://transportation.house.gov/,transportdems,transportdems,transportdems,2973303522917066,"#InfrastructureIsCalling and this week Albio Sires, a former mayor, joined other mayors from across the country to urge Congress to answer with transformational infrastructure investment. Albio Sires is working with House Committee on Transportation and Infrastructure to make that a reality.","#InfrastructureIsCalling and this week Albio Sires, a former mayor, joined other mayors from across the country to urge Congress to answer with transformational infrastructure investment. Albio Sires is working with House Committee on Transportation and Infrastructure to make that a reality.",,2021-05-14 14:24:35,https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/185173857_2973302932917125_8478779445901395682_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=8024bb&_nc_ohc=VTawK2XdrVEAX__VlA6&_nc_ht=scontent-iad3-2.xx&tp=14&oh=e6700771da43dab13e92b69ab9c338d9&oe=60C739E3,,,,2,1,0,https://facebook.com/transportdems/posts/2973303522917066,,1570916196489146,House Committee on Transportation and Infrastructure,False,['https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/185173857_2973302932917125_8478779445901395682_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=8024bb&_nc_ohc=VTawK2XdrVEAX__VlA6&_nc_ht=scontent-iad3-2.xx&tp=14&oh=e6700771da43dab13e92b69ab9c338d9&oe=60C739E3']
8,house,House Committee on Energy and Commerce,https://energycommerce.house.gov/,energycommerce,energyandcommercedemocrats,energyandcommercedemocrats,1620502641487581,"This is good news! As Chairman Frank Pallone Jr. said yesterday, “The Trump Administration’s rule prioritized polluters’ profits ahead of the American people’s health benefits. It was a betrayal of EPA’s mission to protect human health and I’m thrilled the Biden EPA is taking such quick action to reverse course.”

REUTERS.COM
EPA scraps Trump rule that weakened air pollution regulations","This is good news! As Chairman Frank Pallone Jr. said yesterday, “The Trump Administration’s rule prioritized polluters’ profits ahead of the American people’s health benefits. It was a betrayal of EPA’s mission to protect human health and I’m thrilled the Biden EPA is taking such quick action to reverse course.”","REUTERS.COM
EPA scraps Trump rule that weakened air pollution regulations",2021-05-14 14:18:02,,,,,21,1,0,https://facebook.com/energyandcommercedemocrats/posts/1620502641487581,https://www.reuters.com/business/environment/epa-rescinds-trump-move-that-changed-how-agency-weighs-costs-benefits-new-rules-2021-05-13/,387062961498228,Energy and Commerce Committee,False,[]
16,house,House Committee on Veterans' Affairs,https://veterans.house.gov/,VetAffairsDems,VetAffairsDems,VetAffairsDems,4251559044888309,"At over 2 million strong, women veterans are the fastest-growing veteran cohort.

This National Women's Health Week, we're reaffirming our commitment to make sure the U.S. Department of Veterans Affairs can provide equitable, culturally competent care to all women veterans who walk through its doors.","At over 2 million strong, women veterans are the fastest-growing veteran cohort.

This National Women's Health Week, we're reaffirming our commitment to make sure the U.S. Department of Veterans Affairs can provide equitable, culturally competent care to all women veterans who walk through its doors.",,2021-05-14 13:32:13,,,,,9,0,0,https://facebook.com/VetAffairsDems/posts/4251559044888309,,112625455448376,Committee on Veterans’ Affairs Majority,False,[]
27,house,House Committee on the Judiciary,https://republicans-judiciary.house.gov/,JudiciaryGOP,JudiciaryGOP,JudiciaryGOP,10158543586141608,"#ICYMI: This week, Jim Jordan
submitted statements to the Congressional Record in support of America’s police and correctional officers.","#ICYMI: This week, Jim Jordan
submitted statements to the Congressional Record in support of America’s police and correctional officers.",,2021-05-14 13:31:28,https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/185831600_10158543578931608_8969607186341638320_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=110474&_nc_ohc=GkAzwxZkcCsAX-NBmiJ&_nc_ht=scontent-iad3-2.xx&tp=14&oh=b887e59ab6d0f9b8006ecad80e0b81e9&oe=60C74A0E,,,,145,9,0,https://facebook.com/JudiciaryGOP/posts/10158543586141608,,54559691607,House Judiciary Committee GOP,False,"['https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/185831600_10158543578931608_8969607186341638320_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=110474&_nc_ohc=GkAzwxZkcCsAX-NBmiJ&_nc_ht=scontent-iad3-2.xx&tp=14&oh=b887e59ab6d0f9b8006ecad80e0b81e9&oe=60C74A0E', 'https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/186250826_10158543579141608_4416766546021958058_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=110474&_nc_ohc=-vcguL7EmPsAX9zyOOL&_nc_ht=scontent-iad3-2.xx&tp=14&oh=f2ae46c6cbf07aa8daf30bef720da8f1&oe=60C85530']"
31,house,House Committee on Veterans' Affairs,https://republicans-veterans.house.gov/,housevetaffairs,HouseVetsAffairs,HouseVetsAffairs,4384356981588785,"#VETERANS: Now is a great time to #GetTheShot to protect yourself and your community against COVID-19! 💪

ICYMI Veterans Health Administration (VHA) - U.S. Department of Veterans Affairs is offering no-cost, walk-in #CovidVaccines at VA facilities across the country for veterans, spouses, and caregivers.

INFO ⬇️
https://www.va.gov/health-care/covid-19-vaccine/

VA.GOV
COVID-19 vaccines at VA | Veterans Affairs","#VETERANS: Now is a great time to #GetTheShot to protect yourself and your community against COVID-19! 💪

ICYMI Veterans Health Administration (VHA) - U.S. Department of Veterans Affairs is offering no-cost, walk-in #CovidVaccines at VA facilities across the country for veterans, spouses, and caregivers.

INFO ⬇️
https://www.va.gov/health-care/covid-19-vaccine/","VA.GOV
COVID-19 vaccines at VA | Veterans Affairs",2021-05-14 13:15:16,,,,,0,1,0,https://facebook.com/HouseVetsAffairs/posts/4384356981588785,https://www.va.gov/health-care/covid-19-vaccine/,195809623776896,House Committee on Veterans' Affairs GOP,False,[]
28,house,House Committee on the Judiciary,https://republicans-judiciary.house.gov/,JudiciaryGOP,JudiciaryGOP,JudiciaryGOP,10158543509686608,"Can you imagine the media outrage?

Jim Jordan
May 14 at 12:49 PM ·

Do you really think the media wouldn’t blame President Trump if there were lines to get gas during his term?",Can you imagine the media outrage?,"Jim Jordan
May 14 at 12:49 PM ·

Do you really think the media wouldn’t blame President Trump if there were lines to get gas during his term?",2021-05-14 12:49:55,,,,,174,19,17,https://facebook.com/JudiciaryGOP/posts/10158543509686608,,54559691607,House Judiciary Committee GOP,False,[]
29,house,House Committee on the Judiciary,https://republicans-judiciary.house.gov/,JudiciaryGOP,JudiciaryGOP,JudiciaryGOP,,Do you really think the media wouldn’t blame President Trump if there were lines to get gas during his term?,Do you really think the media wouldn’t blame President Trump if there were lines to get gas during his term?,,2021-05-14 12:49:00,,,,,0,0,0,https://facebook.com/story.php?story_fbid=10159259560951460&id=35499336459,,,Jim Jordan,False,[]
12,house,House Committee on Transportation and Infrastructure,https://transportation.house.gov/,transportdems,transportdems,transportdems,2973242202923198,"When we say #InfrastructureIsCalling, this is what we mean. We can’t afford NOT to fix our country’s aging infrastructure. Our safety, our livelihoods, and our economy depends on it. https://www.npr.org/2021/05/12/996407481/cracked-memphis-bridge-remains-indefinitely-closed-disrupting-supply-chain

NPR.ORG
Cracked Memphis Bridge Indefinitely Closed, Disrupting Supply Chain","When we say #InfrastructureIsCalling, this is what we mean. We can’t afford NOT to fix our country’s aging infrastructure. Our safety, our livelihoods, and our economy depends on it. https://www.npr.org/2021/05/12/996407481/cracked-memphis-bridge-remains-indefinitely-closed-disrupting-supply-chain","NPR.ORG
Cracked Memphis Bridge Indefinitely Closed, Disrupting Supply Chain",2021-05-14 12:44:01,,,,,1,1,0,https://facebook.com/transportdems/posts/2973242202923198,https://www.npr.org/2021/05/12/996407481/cracked-memphis-bridge-remains-indefinitely-closed-disrupting-supply-chain,1570916196489146,House Committee on Transportation and Infrastructure,False,[]
23,house,House Committee on Education and Labor,https://republicans-edlabor.house.gov/,EdLaborGOP,EdLaborGOP,EdLaborGOP,10159214246979860,"Now THIS is a workers' rights bill the House Committee on Education and Labor Republicans can get behind 👏🏻

Independent contractors like the flexibility their jobs offer- we don't need the #PROUnionBosses act taking it away.

More flexibility ---> more freedom ---> more job opportunities

THEHILL.COM
Republicans introduce bill to counter PRO Act on joint employer standard","Now THIS is a workers' rights bill the House Committee on Education and Labor Republicans can get behind 👏🏻

Independent contractors like the flexibility their jobs offer- we don't need the #PROUnionBosses act taking it away.

More flexibility ---> more freedom ---> more job opportunities","THEHILL.COM
Republicans introduce bill to counter PRO Act on joint employer standard",2021-05-14 12:26:27,,,,,0,0,0,https://facebook.com/EdLaborGOP/posts/10159214246979860,https://thehill.com/regulation/labor/553395-republicans-introduce-bill-to-counter-pro-act-on-joint-employer-standard,53010329859,House Committee on Education and Labor Republicans,False,[]
13,house,House Committee on Transportation and Infrastructure,https://transportation.house.gov/,transportdems,transportdems,transportdems,2973229609591124,"#InfrastructureIsCalling and this week Eleanor Holmes Norton joined mayors from across the country to underscore the need for Congress to answer with transformational infrastructure investment. As Chair of the Subcommittee on Highways and Transit, Norton is working to make that a reality.","#InfrastructureIsCalling and this week Eleanor Holmes Norton joined mayors from across the country to underscore the need for Congress to answer with transformational infrastructure investment. As Chair of the Subcommittee on Highways and Transit, Norton is working to make that a reality.",,2021-05-14 12:22:26,https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/186513724_2973229576257794_5731290646942401258_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=8024bb&_nc_ohc=lEPkwTQmuZ4AX92Y4rF&_nc_ht=scontent-iad3-2.xx&tp=14&oh=ab97217de99259e084e2c375472d9b69&oe=60C70633,,,,0,0,0,https://facebook.com/transportdems/posts/2973229609591124,,1570916196489146,House Committee on Transportation and Infrastructure,False,['https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/186513724_2973229576257794_5731290646942401258_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=8024bb&_nc_ohc=lEPkwTQmuZ4AX92Y4rF&_nc_ht=scontent-iad3-2.xx&tp=14&oh=ab97217de99259e084e2c375472d9b69&oe=60C70633']
0,house,House Committee on Appropriations,https://appropriations.house.gov/,AppropsDems,AppropsDems,AppropsDems,871676423689704,"NEW: The House Appropriations Committee has introduced an emergency security supplemental to respond to the January 6 insurrection and protect the Capitol, Members, employees and visitors.

Chair Rosa DeLauro’s full statement on this crucial legislation:
https://appropriations.house.gov/news/press-releases/delauro-introduces-emergency-security-supplemental","NEW: The House Appropriations Committee has introduced an emergency security supplemental to respond to the January 6 insurrection and protect the Capitol, Members, employees and visitors.

Chair Rosa DeLauro’s full statement on this crucial legislation:
https://appropriations.house.gov/news/press-releases/delauro-introduces-emergency-security-supplemental",,2021-05-14 11:58:23,https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/185922404_871673160356697_7295651260175109009_n.png?_nc_cat=104&ccb=1-3&_nc_sid=8024bb&_nc_ohc=n6kC6hpJchUAX9OIIiI&_nc_ht=scontent-iad3-2.xx&oh=fc5a2924091f07ff22175ff2e3545773&oe=60C7BC30,,,,3,0,0,https://facebook.com/AppropsDems/posts/871676423689704,https://appropriations.house.gov/news/press-releases/delauro-introduces-emergency-security-supplemental,312422602948425,House Appropriations Committee,False,['https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/185922404_871673160356697_7295651260175109009_n.png?_nc_cat=104&ccb=1-3&_nc_sid=8024bb&_nc_ohc=n6kC6hpJchUAX9OIIiI&_nc_ht=scontent-iad3-2.xx&oh=fc5a2924091f07ff22175ff2e3545773&oe=60C7BC30']
24,house,House Committee on Education and Labor,https://republicans-edlabor.house.gov/,EdLaborGOP,EdLaborGOP,EdLaborGOP,10159214165254860,"Today, House Democrats voted to advance a bill that jeopardizes religious freedom.

Here's what the House Committee on Education and Labor Republicans' Rep. Virginia Foxx had to say about it👇

REPUBLICANS-EDLABOR.HOUSE.GOV
Democrats Advance Bill that Denies Protections for Religious Organizations","Today, House Democrats voted to advance a bill that jeopardizes religious freedom.

Here's what the House Committee on Education and Labor Republicans' Rep. Virginia Foxx had to say about it👇","REPUBLICANS-EDLABOR.HOUSE.GOV
Democrats Advance Bill that Denies Protections for Religious Organizations",2021-05-14 11:33:05,,,,,0,0,0,https://facebook.com/EdLaborGOP/posts/10159214165254860,https://republicans-edlabor.house.gov/news/documentsingle.aspx?DocumentID=407493,53010329859,House Committee on Education and Labor Republicans,False,[]
